"filepath","location","filesize_in_Gb","readme","giab_id","biosample","trio","dna_id","failed_filters","passed_filters","snps","mnps","insertions","deletions","indels","same_as_reference","phased_genotypes","snp transitions/transversions","hethom_ratio","insertion/deletion ratio","indel/snp+mnp ratio","breakends","symbolic svs","symbolic sv het/hom ratio","missing genotype","no genotypes","partial genotype","md5key"
"submissions/ADF1EDBC-1463-482D-808E-C7EBED5C1161--WUSTL_Variant_Calls/HG005/calls/","4c99f6f92dbdd4b5748a7ba7cdb1667c/HG005.hifiasm_pat.deepvariant.vcf","0.43","Not available in parent or current directory","HG005","SAMN03283350","HAN_CHINESE","NA24631","2193007","2917684","2349765","0","262712","302700","2463",,"1071.46 (2347574/2191)","- (0/0)","23.47 (251978/10734)",,,"44",,,,,,"4c99f6f92dbdd4b5748a7ba7cdb1667c"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG002_pass","77829627eed18415bade6da068bfa50e/HG002_AJ_tardis.filtered.noINV_decomposed_norm.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","0",,,,,,,,,,,,,,,,,,"77829627eed18415bade6da068bfa50e"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017","41954bd195f7efc58f3244c93bdb9d90/HG3_PBcR_MHAP.l100c500.no_ns.vcf.gz","0.01","/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/README","Not Available","Not Available","Not Available","Not Available","0","12362","0","0","5161","4658","2543","0","0","4724","4152","- (541/0)","1.11 (5161/4658)","0","10878","- (506/0)",,,,"41954bd195f7efc58f3244c93bdb9d90"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017","bc9a76b37a1dce6544fae5fbfc71cc37/HG2_pseudohap2.l100c500.vcf.gz","0.0","/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/README","Not Available","Not Available","Not Available","Not Available","0","14632","0","0","3230","8760","2642","0","0","2230","7089","- (396/0)","0.37 (3230/8760)","0","11565","- (1671/0)",,,,"bc9a76b37a1dce6544fae5fbfc71cc37"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG002_pass","44ee1e5360c537ac08c9bcc53081e437/Parliament.HG002.pacbioonly_decomposed_norm.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","0",,,,,,,,,,,,,,,,,,"44ee1e5360c537ac08c9bcc53081e437"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_CallsIn2Technologies_05182015","68c285e44ab2a4ab1b609438ec94cba7/HG003-multiall-fullcombine.vcf.gz","0.15","/giab/ftp/data/AshkenazimTrio/analysis/NIST_CallsIn2Technologies_05182015/README.txt","Not Available","Not Available","Not Available","Not Available","0","3562663","3187510","0","184268","188532","2353",,"1.43 (2096462/1466201)","1.41 (1862493/1325017)","- (0/0)",,,"0",,,,,,"68c285e44ab2a4ab1b609438ec94cba7"
"/giab/ftp/data/ChineseTrio/analysis/RTG_RTGJointTrio_06062019/GRCh38","3bbe6f1d80df8b02fdbdd3b35264f39f/family.merged.avr_0.1.vcf.gz","1.22","/giab/ftp/data/ChineseTrio/analysis/RTG_RTGJointTrio_06062019/GRCh38/README.md","Not Available","Not Available","Not Available","Not Available","884828","5987486","1505894",,"3774733","46314","370793","1392794","119416","94099","1489","1.41 (209813/149093)","1.41 (207944/147710)","367209","35643","1.22 (24653/20172)",,,,"3bbe6f1d80df8b02fdbdd3b35264f39f"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass","2e9dd41cce6d956ce5de246211a80b70/all_reads.fa.giab_h004_ngmlr-0.2.3_mapped.bam.sniffles1kb_auto_noalts_withID_gt19bp.sort.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","14404","0","0","0","0","0",,"0.67 (5758/8633)","- (0/0)","- (0/0)",,,"14391","13",,,,,"2e9dd41cce6d956ce5de246211a80b70"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/inputvcfswithIDs_170509","b5447ce65c78f8e8c2b40850828c2cb9/son_hap_refsplit20160129_1kb.bionano_withID_gt19bp.sort.vcf.gz","0.0","/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/README.txt","Not Available","Not Available","Not Available","Not Available","3575","0",,,,,,,,,,,,,,,,,,"b5447ce65c78f8e8c2b40850828c2cb9"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG003_pass","ecfa8c9253ac18a91616c1303d1d1947/HG003_GRCh37_CHROM1-Y_novoalign_Ilmn150bp300X_GATKHC_min20bp_refalt_head.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","38556","0","0","21968","16118","470",,"- (0/0)","- (0/0)","3.80 (17395/4573)",,,"0",,,,,,"ecfa8c9253ac18a91616c1303d1d1947"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017","d4de164c71f79e9ecf759999a1fbd0c4/HG3_Dovetail_MHAP.l100c500.no_ns.vcf.gz","0.01","/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/README","Not Available","Not Available","Not Available","Not Available","0","11034","0","0","4611","4217","2206","0","0","4246","3755","- (498/0)","1.09 (4611/4217)","0","9709","- (462/0)",,,,"d4de164c71f79e9ecf759999a1fbd0c4"
"/giab/ftp/data/ChineseTrio/HG005_NA24631_son/HG005_NA24631_son_HiSeq_300x/basespace_45x_bams_vcfs_PerFlowCell/150506_HG005_Homogeneity_04_FCB-22365345/150506_HG005_Homogeneity_FCB_Combined-23216658","311138654d349dde8fde664b74682eab/150506-HG005-Homogeneity-FCB-Combined_S1.SV.vcf","0.0","Not available in parent or current directory","HG005","SAMN03283350","HAN_CHINESE","NA24631","1447","5715","0","2","935","2903","948","0","- (0/0)","2.25 (3954/1761)","- (0/0)","2393.00 (4786/2)",,"52","875","0.32 (935/2903)",,,,"311138654d349dde8fde664b74682eab"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017","8e8c1f1164515b3404564ff2dc483e51/HG3_Dovetail_Falcon.l100c500.no_ns.vcf.gz","0.01","/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/README","Not Available","Not Available","Not Available","Not Available","0","13652","0","0","6563","4425","2664","0","0","4042","2767","- (1049/0)","1.48 (6563/4425)","0","8424","- (1658/0)",,,,"8e8c1f1164515b3404564ff2dc483e51"
